feature,importance
desc_emb_503,0.0005073156565722749
desc_emb_422,0.000506144558642713
desc_emb_462,0.0005050248937665268
desc_emb_448,0.000504003444639891
desc_emb_305,0.0005031986790151701
desc_emb_153,0.0005026134353839746
desc_emb_154,0.000497131439123191
desc_emb_379,0.0004969810256777166
desc_emb_636,0.0004957575872887231
desc_emb_727,0.0004954451775224184
desc_emb_349,0.0004916257665436341
desc_emb_511,0.0004909180473941127
desc_emb_337,0.0004907959863103802
desc_emb_281,0.0004903797253065458
desc_emb_299,0.00048778978957618934
desc_emb_517,0.00048262324753279955
desc_emb_12,0.0004823313953340067
desc_emb_577,0.0004816758748569899
desc_emb_267,0.00048033528836122203
desc_emb_198,0.0004798702383226211
desc_emb_298,0.00047906240241749943
desc_emb_477,0.0004790357828917785
desc_emb_728,0.0004775046360703979
desc_emb_485,0.00047600098645224364
desc_emb_650,0.0004758706187646304
desc_emb_73,0.0004757006334344989
desc_emb_554,0.0004752757166548904
desc_emb_692,0.00047351334407275396
desc_emb_323,0.0004718891350390767
desc_emb_361,0.00047177308486307055
desc_emb_624,0.00047089098747589653
desc_emb_241,0.00047084952638272155
desc_emb_743,0.00047051416698679766
desc_emb_289,0.00046998774020309765
desc_emb_301,0.0004694657532355088
desc_emb_490,0.00046821117418486315
desc_emb_6,0.00046698045261743467
desc_emb_0,0.0004653093016777169
desc_emb_14,0.000464681350092017
desc_emb_81,0.00046370708681674894
desc_emb_60,0.0004617727612940409
desc_emb_85,0.00046110383769881584
desc_emb_273,0.00046053156608513956
desc_emb_742,0.00045991942437586327
desc_emb_760,0.00045918629519423927
desc_emb_558,0.0004583684356780486
desc_emb_553,0.0004577374162725581
desc_emb_703,0.00045721942110520764
desc_emb_383,0.0004571331394432255
desc_emb_653,0.00045597369264424283
desc_emb_552,0.0004558043587242692
desc_emb_711,0.00045490147445378666
desc_emb_202,0.0004532083212217629
desc_emb_615,0.0004523275430902335
desc_emb_40,0.0004516647991123795
desc_emb_505,0.0004515200995449923
desc_emb_682,0.0004509956162268676
desc_emb_195,0.00045090278028919403
desc_emb_467,0.00045072073146207244
desc_emb_547,0.00044988633010078604
desc_emb_103,0.000449611355959475
desc_emb_16,0.00044938678189564136
desc_emb_415,0.0004493541767360305
desc_emb_355,0.0004492834088860821
desc_emb_426,0.0004462614534786041
desc_emb_288,0.0004457650537696727
desc_emb_46,0.0004444038050112432
desc_emb_714,0.00044401683533445757
desc_emb_622,0.0004440105651095183
desc_emb_61,0.0004437101341218792
desc_emb_689,0.00044350639532170227
desc_emb_690,0.00044166864550198865
desc_emb_699,0.0004392893896592194
desc_emb_352,0.0004392082755623622
desc_emb_514,0.00043916757321916876
desc_emb_33,0.0004387177019144185
desc_emb_205,0.00043817345634438197
desc_emb_631,0.0004374834545012236
desc_emb_86,0.0004365143199913231
desc_emb_43,0.00043641931983789403
desc_emb_365,0.00043608577910234217
desc_emb_510,0.00043578368023910357
desc_emb_181,0.00043559215928030607
desc_emb_529,0.0004348619885960862
desc_emb_512,0.00043406947102344045
desc_emb_10,0.0004337977413036531
desc_emb_350,0.00043250284803751204
desc_emb_196,0.00043223750875079337
desc_emb_210,0.0004321129634180256
desc_emb_702,0.0004317981437312746
desc_emb_67,0.00043124907274862795
desc_emb_639,0.0004306845706359893
desc_emb_15,0.0004306309799552813
desc_emb_761,0.00043016910114569587
desc_emb_750,0.00043010798634136605
desc_emb_759,0.0004297596554399785
desc_emb_34,0.0004295549870202341
desc_emb_493,0.00042901152275462705
desc_emb_334,0.0004287380816690862
desc_emb_465,0.0004283396244000261
desc_emb_694,0.00042820226099219496
desc_emb_123,0.00042649902899747987
desc_emb_638,0.00042643919969118966
desc_emb_102,0.00042621682807381296
desc_emb_112,0.0004260574843229883
desc_emb_203,0.0004259418201403454
desc_emb_359,0.00042582699534409265
desc_emb_767,0.0004256911836339337
desc_emb_661,0.00042567915205676875
desc_emb_715,0.00042543752661089804
desc_emb_362,0.00042505548476836496
desc_emb_521,0.0004250033922928269
desc_emb_754,0.0004249018965031249
desc_emb_438,0.0004247633662326107
desc_emb_260,0.00042422777603629496
desc_emb_253,0.00042338976117592793
desc_emb_530,0.00042330756401190716
desc_emb_522,0.00042319251372073107
desc_emb_155,0.00042275819151860384
desc_emb_314,0.00042173914185242745
desc_emb_670,0.0004213163741635882
desc_emb_118,0.0004211146447245851
desc_emb_662,0.0004208272757619571
desc_emb_444,0.00042039881807325865
desc_emb_225,0.0004198063667112365
desc_emb_443,0.0004187475376307634
desc_emb_146,0.0004184970678852754
desc_emb_378,0.00041788886150810427
desc_emb_333,0.0004178738988308061
